"","state","date","confirmed"
"181","Colorado",0020-01-25,0
"182","Connecticut",0020-01-25,0
"183","Delaware",0020-01-25,0
"184","Diamond Princess",0020-01-25,0
"185","District of Columbia",0020-01-25,0
"186","Florida",0020-01-25,0
"187","Georgia",0020-01-25,0
"188","Grand Princess",0020-01-25,0
"189","Guam",0020-01-25,0
"190","Hawaii",0020-01-25,0
"191","Idaho",0020-01-25,0
"192","Illinois",0020-01-25,1
"193","Indiana",0020-01-25,0
"194","Iowa",0020-01-25,0
"195","Kansas",0020-01-25,0
"196","Kentucky",0020-01-25,0
"197","Louisiana",0020-01-25,0
"198","Maine",0020-01-25,0
"199","Maryland",0020-01-25,0
"200","Massachusetts",0020-01-25,0
"201","Michigan",0020-01-25,0
"202","Minnesota",0020-01-25,0
"203","Mississippi",0020-01-25,0
"204","Missouri",0020-01-25,0
"205","Montana",0020-01-25,0
"206","Nebraska",0020-01-25,0
"207","Nevada",0020-01-25,0
"208","New Hampshire",0020-01-25,0
"209","New Jersey",0020-01-25,0
"210","New Mexico",0020-01-25,0
"211","New York",0020-01-25,0
"212","North Carolina",0020-01-25,0
"213","North Dakota",0020-01-25,0
"214","Northern Mariana Islands",0020-01-25,0
"215","Ohio",0020-01-25,0
"216","Oklahoma",0020-01-25,0
"217","Oregon",0020-01-25,0
"218","Pennsylvania",0020-01-25,0
"219","Puerto Rico",0020-01-25,0
"220","Rhode Island",0020-01-25,0
"221","South Carolina",0020-01-25,0
"222","South Dakota",0020-01-25,0
"223","Tennessee",0020-01-25,0
"224","Texas",0020-01-25,0
"225","Utah",0020-01-25,0
"226","Vermont",0020-01-25,0
"227","Virgin Islands",0020-01-25,0
"228","Virginia",0020-01-25,0
"229","Washington",0020-01-25,1
"230","West Virginia",0020-01-25,0
"231","Wisconsin",0020-01-25,0
"232","Wyoming",0020-01-25,0
"233","Alabama",0020-01-26,0
"234","Alaska",0020-01-26,0
"235","American Samoa",0020-01-26,0
"236","Arizona",0020-01-26,1
"237","Arkansas",0020-01-26,0
"238","California",0020-01-26,2
"239","Colorado",0020-01-26,0
"240","Connecticut",0020-01-26,0
"241","Delaware",0020-01-26,0
"242","Diamond Princess",0020-01-26,0
"243","District of Columbia",0020-01-26,0
"244","Florida",0020-01-26,0
"245","Georgia",0020-01-26,0
"246","Grand Princess",0020-01-26,0
"247","Guam",0020-01-26,0
"248","Hawaii",0020-01-26,0
"249","Idaho",0020-01-26,0
"250","Illinois",0020-01-26,1
"251","Indiana",0020-01-26,0
"252","Iowa",0020-01-26,0
"253","Kansas",0020-01-26,0
"254","Kentucky",0020-01-26,0
"255","Louisiana",0020-01-26,0
"256","Maine",0020-01-26,0
"257","Maryland",0020-01-26,0
"258","Massachusetts",0020-01-26,0
"259","Michigan",0020-01-26,0
"260","Minnesota",0020-01-26,0
"261","Mississippi",0020-01-26,0
"262","Missouri",0020-01-26,0
"263","Montana",0020-01-26,0
"264","Nebraska",0020-01-26,0
"265","Nevada",0020-01-26,0
"266","New Hampshire",0020-01-26,0
"267","New Jersey",0020-01-26,0
"268","New Mexico",0020-01-26,0
"269","New York",0020-01-26,0
"270","North Carolina",0020-01-26,0
"271","North Dakota",0020-01-26,0
"272","Northern Mariana Islands",0020-01-26,0
"273","Ohio",0020-01-26,0
"274","Oklahoma",0020-01-26,0
"275","Oregon",0020-01-26,0
"276","Pennsylvania",0020-01-26,0
"277","Puerto Rico",0020-01-26,0
"278","Rhode Island",0020-01-26,0
"279","South Carolina",0020-01-26,0
"280","South Dakota",0020-01-26,0
"281","Tennessee",0020-01-26,0
"282","Texas",0020-01-26,0
"283","Utah",0020-01-26,0
"284","Vermont",0020-01-26,0
"285","Virgin Islands",0020-01-26,0
"286","Virginia",0020-01-26,0
"287","Washington",0020-01-26,1
"288","West Virginia",0020-01-26,0
"289","Wisconsin",0020-01-26,0
"290","Wyoming",0020-01-26,0
"291","Alabama",0020-01-27,0
"292","Alaska",0020-01-27,0
"293","American Samoa",0020-01-27,0
"294","Arizona",0020-01-27,1
"295","Arkansas",0020-01-27,0
"296","California",0020-01-27,2
"297","Colorado",0020-01-27,0
"298","Connecticut",0020-01-27,0
"299","Delaware",0020-01-27,0
"300","Diamond Princess",0020-01-27,0
"301","District of Columbia",0020-01-27,0
"302","Florida",0020-01-27,0
"303","Georgia",0020-01-27,0
"304","Grand Princess",0020-01-27,0
"305","Guam",0020-01-27,0
"306","Hawaii",0020-01-27,0
"307","Idaho",0020-01-27,0
"308","Illinois",0020-01-27,1
"309","Indiana",0020-01-27,0
"310","Iowa",0020-01-27,0
"311","Kansas",0020-01-27,0
"312","Kentucky",0020-01-27,0
"313","Louisiana",0020-01-27,0
"314","Maine",0020-01-27,0
