"","new","state","days"
"241",33,"Montana",5
"242",184,"Nevada",1
"243",112,"New Hampshire",6
"244",3335,"New Jersey",12
"245",48,"New Mexico",9
"246",8558,"New York",11
"247",302,"North Carolina",3
"248",354,"Ohio",10
"249",90,"Oregon",10
"250",1259,"Pennsylvania",1
"251",79,"Rhode Island",5
"252",80,"Tennessee",0
"253",714,"Texas",0
"254",17,"Vermont",8
"255",223,"Virginia",3
"256",781,"Washington",10
"257",25,"West Virginia",10
"258",192,"Wisconsin",8
"259",14,"Alaska",6
"260",222,"Arizona",3
"261",400,"Colorado",8
"262",1090,"Connecticut",11
"263",57,"Delaware",10
"264",104,"District of Columbia",4
"265",1260,"Florida",0
"266",483,"Georgia",0
"267",63,"Hawaii",9
"268",115,"Idaho",9
"269",399,"Indiana",9
"270",76,"Kansas",4
"271",1148,"Louisiana",11
"272",56,"Maine",1
"273",427,"Maryland",4
"274",1953,"Michigan",10
"275",46,"Minnesota",7
"276",181,"Mississippi",0
"277",2,"Montana",6
"278",51,"Nevada",2
"279",146,"New Mexico",10
"280",10481,"New York",12
"281",274,"North Carolina",4
"282",411,"Ohio",11
"283",73,"Oregon",11
"284",1302,"Pennsylvania",2
"285",66,"Rhode Island",6
"286",54,"Tennessee",1
"287",665,"Texas",1
"288",51,"Vermont",9
"289",306,"Virginia",4
"290",457,"Washington",11
"291",21,"West Virginia",11
"292",264,"Wisconsin",9
"293",119,"Alabama",0
"294",14,"Alaska",7
"295",250,"Arizona",4
"296",446,"Colorado",9
"297",362,"Connecticut",12
"298",143,"Delaware",11
"299",145,"District of Columbia",5
"300",1269,"Florida",1
"301",329,"Georgia",1
"302",32,"Hawaii",10
"303",131,"Idaho",10
"304",516,"Indiana",10
"305",69,"Kansas",5
"306",2199,"Louisiana",12
"307",24,"Maine",2
"308",367,"Maryland",5
"309",1481,"Michigan",11
"310",77,"Minnesota",8
"311",97,"Mississippi",1
"312",22,"Montana",7
"313",228,"Nevada",3
"314",61,"New Hampshire",8
"315",235,"North Carolina",5
"316",427,"Ohio",12
"317",1874,"Pennsylvania",3
"318",95,"Rhode Island",7
"319",255,"Tennessee",2
"320",833,"Texas",2
"321",72,"Vermont",10
"322",395,"Virginia",5
"323",401,"Washington",12
"324",45,"West Virginia",12
"325",18,"Wisconsin",10
"326",151,"Alabama",1
"327",14,"Alaska",8
"328",299,"Arizona",5
"329",762,"Colorado",10
"330",80,"Delaware",12
"331",100,"District of Columbia",6
"332",813,"Florida",2
"333",487,"Georgia",2
"334",20,"Hawaii",11
"335",56,"Idaho",11
"336",458,"Indiana",11
"337",53,"Kansas",6
"338",14,"Maine",3
"339",492,"Maryland",6
"340",1493,"Michigan",12
"341",70,"Minnesota",9
"342",183,"Mississippi",2
"343",21,"Montana",8
"344",113,"Nevada",4
"345",81,"New Hampshire",9
"346",136,"New Mexico",12
"347",163,"North Carolina",6
"348",1145,"Pennsylvania",4
"349",116,"Rhode Island",8
"350",311,"Tennessee",3
"351",642,"Texas",3
"352",51,"Vermont",11
"353",233,"Virginia",6
"354",290,"Wisconsin",11
"355",187,"Alabama",2
"356",5,"Alaska",9
"357",246,"Arizona",6
"358",233,"Colorado",11
"359",95,"District of Columbia",7
"360",974,"Florida",3
"361",667,"Georgia",3
"362",16,"Hawaii",12
"363",23,"Idaho",12
"364",545,"Indiana",12
"365",98,"Kansas",7
"366",29,"Maine",4
"367",428,"Maryland",7
"368",51,"Minnesota",10
"369",100,"Mississippi",3
"370",389,"Missouri",0
"371",13,"Montana",9
"372",98,"Nevada",5
