"","days","state","new"
"239",5,"Tennessee",337
"240",5,"Texas",882
"241",5,"Florida",911
"242",5,"Georgia",1079
"243",5,"Mississippi",88
"244",5,"Alabama",375
"245",5,"Missouri",211
"246",5,"South Carolina",109
"247",6,"California",460
"248",6,"Illinois",486
"249",6,"New Jersey",1949
"250",6,"New York",7534
"251",6,"Connecticut",469
"252",6,"Louisiana",225
"253",6,"Ohio",247
"254",6,"Oregon",69
"255",6,"Washington",435
"256",6,"West Virginia",17
"257",6,"Delaware",32
"258",6,"Michigan",1010
"259",6,"New Mexico",0
"260",6,"Hawaii",29
"261",6,"Idaho",175
"262",6,"Indiana",372
"263",6,"Vermont",37
"264",6,"Wisconsin",182
"265",6,"Colorado",16
"266",6,"Minnesota",53
"267",6,"New Hampshire",0
"268",6,"Alaska",14
"269",6,"Montana",2
"270",6,"Rhode Island",66
"271",6,"District of Columbia",100
"272",6,"Kansas",53
"273",6,"Maryland",492
"274",6,"North Carolina",163
"275",6,"Virginia",233
"276",6,"Arizona",246
"277",6,"Nevada",171
"278",6,"Pennsylvania",1726
"279",6,"Maine",18
"280",6,"Tennessee",224
"281",6,"Texas",852
"282",6,"Florida",908
"283",6,"Georgia",665
"284",6,"Mississippi",257
"285",6,"Alabama",244
"286",6,"Missouri",161
"287",6,"South Carolina",71
"288",7,"California",901
"289",7,"Illinois",467
"290",7,"New Jersey",2299
"291",7,"New York",7238
"292",7,"Connecticut",578
"293",7,"Louisiana",485
"294",7,"Ohio",280
"295",7,"Oregon",58
"296",7,"Washington",458
"297",7,"West Virginia",32
"298",7,"Delaware",55
"299",7,"Michigan",1117
"300",7,"New Mexico",78
"301",7,"Hawaii",20
"302",7,"Idaho",51
"303",7,"Indiana",406
"304",7,"Vermont",28
"305",7,"Wisconsin",144
"306",7,"Colorado",360
"307",7,"Minnesota",46
"308",7,"New Hampshire",163
"309",7,"Alaska",14
"310",7,"Montana",22
"311",7,"Rhode Island",95
"312",7,"District of Columbia",95
"313",7,"Kansas",98
"314",7,"Maryland",428
"315",7,"North Carolina",313
"316",7,"Virginia",238
"317",7,"Arizona",138
"318",7,"Nevada",135
"319",7,"Pennsylvania",1778
"320",7,"Maine",23
"321",7,"Tennessee",271
"322",7,"Texas",1431
"323",7,"Florida",1167
"324",7,"Georgia",919
"325",7,"Mississippi",209
"326",7,"Alabama",270
"327",7,"Missouri",246
"328",7,"South Carolina",162
"329",8,"California",758
"330",8,"Illinois",1105
"331",8,"New Jersey",2262
"332",8,"New York",7015
"333",8,"Connecticut",557
"334",8,"Louisiana",1212
"335",8,"Ohio",266
"336",8,"Oregon",84
"337",8,"Washington",509
"338",8,"West Virginia",17
"339",8,"Delaware",49
"340",8,"Michigan",1700
"341",8,"New Mexico",25
"342",8,"Hawaii",32
"343",8,"Idaho",210
"344",8,"Indiana",474
"345",8,"Vermont",17
"346",8,"Wisconsin",192
"347",8,"Colorado",400
"348",8,"Minnesota",77
"349",8,"New Hampshire",61
"350",8,"Alaska",14
"351",8,"Montana",21
"352",8,"Rhode Island",116
"353",8,"District of Columbia",114
"354",8,"Kansas",63
"355",8,"Maryland",326
"356",8,"North Carolina",337
"357",8,"Virginia",457
"358",8,"Arizona",166
"359",8,"Nevada",197
"360",8,"Pennsylvania",1669
"361",8,"Maine",26
"362",8,"Tennessee",257
"363",8,"Texas",897
"364",8,"Florida",963
"365",8,"Georgia",674
"366",8,"Mississippi",173
"367",8,"Alabama",346
