"","state","date","confirmed"
"192","Illinois","1/25/20",1
"193","Indiana","1/25/20",0
"194","Iowa","1/25/20",0
"195","Kansas","1/25/20",0
"196","Kentucky","1/25/20",0
"197","Louisiana","1/25/20",0
"198","Maine","1/25/20",0
"199","Maryland","1/25/20",0
"200","Massachusetts","1/25/20",0
"201","Michigan","1/25/20",0
"202","Minnesota","1/25/20",0
"203","Mississippi","1/25/20",0
"204","Missouri","1/25/20",0
"205","Montana","1/25/20",0
"206","Nebraska","1/25/20",0
"207","Nevada","1/25/20",0
"208","New Hampshire","1/25/20",0
"209","New Jersey","1/25/20",0
"210","New Mexico","1/25/20",0
"211","New York","1/25/20",0
"212","North Carolina","1/25/20",0
"213","North Dakota","1/25/20",0
"214","Northern Mariana Islands","1/25/20",0
"215","Ohio","1/25/20",0
"216","Oklahoma","1/25/20",0
"217","Oregon","1/25/20",0
"218","Pennsylvania","1/25/20",0
"219","Puerto Rico","1/25/20",0
"220","Rhode Island","1/25/20",0
"221","South Carolina","1/25/20",0
"222","South Dakota","1/25/20",0
"223","Tennessee","1/25/20",0
"224","Texas","1/25/20",0
"225","Utah","1/25/20",0
"226","Vermont","1/25/20",0
"227","Virgin Islands","1/25/20",0
"228","Virginia","1/25/20",0
"229","Washington","1/25/20",1
"230","West Virginia","1/25/20",0
"231","Wisconsin","1/25/20",0
"232","Wyoming","1/25/20",0
"233","Alabama","1/26/20",0
"234","Alaska","1/26/20",0
"235","American Samoa","1/26/20",0
"236","Arizona","1/26/20",1
"237","Arkansas","1/26/20",0
"238","California","1/26/20",2
"239","Colorado","1/26/20",0
"240","Connecticut","1/26/20",0
"241","Delaware","1/26/20",0
"242","Diamond Princess","1/26/20",0
"243","District of Columbia","1/26/20",0
"244","Florida","1/26/20",0
"245","Georgia","1/26/20",0
"246","Grand Princess","1/26/20",0
"247","Guam","1/26/20",0
"248","Hawaii","1/26/20",0
"249","Idaho","1/26/20",0
"250","Illinois","1/26/20",1
"251","Indiana","1/26/20",0
"252","Iowa","1/26/20",0
"253","Kansas","1/26/20",0
"254","Kentucky","1/26/20",0
"255","Louisiana","1/26/20",0
"256","Maine","1/26/20",0
"257","Maryland","1/26/20",0
"258","Massachusetts","1/26/20",0
"259","Michigan","1/26/20",0
"260","Minnesota","1/26/20",0
"261","Mississippi","1/26/20",0
"262","Missouri","1/26/20",0
"263","Montana","1/26/20",0
"264","Nebraska","1/26/20",0
"265","Nevada","1/26/20",0
"266","New Hampshire","1/26/20",0
"267","New Jersey","1/26/20",0
"268","New Mexico","1/26/20",0
"269","New York","1/26/20",0
"270","North Carolina","1/26/20",0
"271","North Dakota","1/26/20",0
"272","Northern Mariana Islands","1/26/20",0
"273","Ohio","1/26/20",0
"274","Oklahoma","1/26/20",0
"275","Oregon","1/26/20",0
"276","Pennsylvania","1/26/20",0
"277","Puerto Rico","1/26/20",0
"278","Rhode Island","1/26/20",0
"279","South Carolina","1/26/20",0
"280","South Dakota","1/26/20",0
"281","Tennessee","1/26/20",0
"282","Texas","1/26/20",0
"283","Utah","1/26/20",0
"284","Vermont","1/26/20",0
"285","Virgin Islands","1/26/20",0
"286","Virginia","1/26/20",0
"287","Washington","1/26/20",1
"288","West Virginia","1/26/20",0
"289","Wisconsin","1/26/20",0
"290","Wyoming","1/26/20",0
"291","Alabama","1/27/20",0
"292","Alaska","1/27/20",0
"293","American Samoa","1/27/20",0
"294","Arizona","1/27/20",1
"295","Arkansas","1/27/20",0
"296","California","1/27/20",2
"297","Colorado","1/27/20",0
"298","Connecticut","1/27/20",0
"299","Delaware","1/27/20",0
"300","Diamond Princess","1/27/20",0
"301","District of Columbia","1/27/20",0
"302","Florida","1/27/20",0
"303","Georgia","1/27/20",0
"304","Grand Princess","1/27/20",0
"305","Guam","1/27/20",0
"306","Hawaii","1/27/20",0
"307","Idaho","1/27/20",0
"308","Illinois","1/27/20",1
"309","Indiana","1/27/20",0
"310","Iowa","1/27/20",0
"311","Kansas","1/27/20",0
"312","Kentucky","1/27/20",0
"313","Louisiana","1/27/20",0
"314","Maine","1/27/20",0
"315","Maryland","1/27/20",0
"316","Massachusetts","1/27/20",0
"317","Michigan","1/27/20",0
"318","Minnesota","1/27/20",0
"319","Mississippi","1/27/20",0
"320","Missouri","1/27/20",0
"321","Montana","1/27/20",0
"322","Nebraska","1/27/20",0
"323","Nevada","1/27/20",0
"324","New Hampshire","1/27/20",0
"325","New Jersey","1/27/20",0
"326","New Mexico","1/27/20",0
"327","New York","1/27/20",0
"328","North Carolina","1/27/20",0
"329","North Dakota","1/27/20",0
"330","Northern Mariana Islands","1/27/20",0
"331","Ohio","1/27/20",0
"332","Oklahoma","1/27/20",0
"333","Oregon","1/27/20",0
"334","Pennsylvania","1/27/20",0
"335","Puerto Rico","1/27/20",0
"336","Rhode Island","1/27/20",0
"337","South Carolina","1/27/20",0
"338","South Dakota","1/27/20",0
"339","Tennessee","1/27/20",0
"340","Texas","1/27/20",0
"341","Utah","1/27/20",0
"342","Vermont","1/27/20",0
"343","Virgin Islands","1/27/20",0
"344","Virginia","1/27/20",0
"345","Washington","1/27/20",1
"346","West Virginia","1/27/20",0
"347","Wisconsin","1/27/20",0
"348","Wyoming","1/27/20",0
"349","Alabama","1/28/20",0
"350","Alaska","1/28/20",0
"351","American Samoa","1/28/20",0
"352","Arizona","1/28/20",1
"353","Arkansas","1/28/20",0
"354","California","1/28/20",2
"355","Colorado","1/28/20",0
"356","Connecticut","1/28/20",0
"357","Delaware","1/28/20",0
"358","Diamond Princess","1/28/20",0
"359","District of Columbia","1/28/20",0
"360","Florida","1/28/20",0
"361","Georgia","1/28/20",0
"362","Grand Princess","1/28/20",0
"363","Guam","1/28/20",0
"364","Hawaii","1/28/20",0
"365","Idaho","1/28/20",0
"366","Illinois","1/28/20",1
"367","Indiana","1/28/20",0
"368","Iowa","1/28/20",0
"369","Kansas","1/28/20",0
"370","Kentucky","1/28/20",0
"371","Louisiana","1/28/20",0
"372","Maine","1/28/20",0
"373","Maryland","1/28/20",0
"374","Massachusetts","1/28/20",0
"375","Michigan","1/28/20",0
"376","Minnesota","1/28/20",0
"377","Mississippi","1/28/20",0
"378","Missouri","1/28/20",0
"379","Montana","1/28/20",0
"380","Nebraska","1/28/20",0
"381","Nevada","1/28/20",0
"382","New Hampshire","1/28/20",0
"383","New Jersey","1/28/20",0
"384","New Mexico","1/28/20",0
"385","New York","1/28/20",0
"386","North Carolina","1/28/20",0
"387","North Dakota","1/28/20",0
"388","Northern Mariana Islands","1/28/20",0
"389","Ohio","1/28/20",0
"390","Oklahoma","1/28/20",0
"391","Oregon","1/28/20",0
"392","Pennsylvania","1/28/20",0
"393","Puerto Rico","1/28/20",0
"394","Rhode Island","1/28/20",0
"395","South Carolina","1/28/20",0
"396","South Dakota","1/28/20",0
"397","Tennessee","1/28/20",0
"398","Texas","1/28/20",0
"399","Utah","1/28/20",0
"400","Vermont","1/28/20",0
"401","Virgin Islands","1/28/20",0
"402","Virginia","1/28/20",0
"403","Washington","1/28/20",1
"404","West Virginia","1/28/20",0
"405","Wisconsin","1/28/20",0
"406","Wyoming","1/28/20",0
"407","Alabama","1/29/20",0
"408","Alaska","1/29/20",0
"409","American Samoa","1/29/20",0
"410","Arizona","1/29/20",1
"411","Arkansas","1/29/20",0
"412","California","1/29/20",2
"413","Colorado","1/29/20",0
"414","Connecticut","1/29/20",0
"415","Delaware","1/29/20",0
"416","Diamond Princess","1/29/20",0
"417","District of Columbia","1/29/20",0
"418","Florida","1/29/20",0
"419","Georgia","1/29/20",0
"420","Grand Princess","1/29/20",0
"421","Guam","1/29/20",0
"422","Hawaii","1/29/20",0
"423","Idaho","1/29/20",0
"424","Illinois","1/29/20",1
"425","Indiana","1/29/20",0
"426","Iowa","1/29/20",0
"427","Kansas","1/29/20",0
"428","Kentucky","1/29/20",0
"429","Louisiana","1/29/20",0
"430","Maine","1/29/20",0
"431","Maryland","1/29/20",0
"432","Massachusetts","1/29/20",0
